                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.86752,                 0.8876,                 1.4792,                0.92849,                0.85816,                0.93776,                 0.7628,                0.83727,                0.74872,                 1.3918,              0.0006734,              0.0006734,              0.0006734
                     69,                0.85465,                 0.8479,                 1.4583,                0.92797,                0.86692,                0.93965,                0.76623,                0.82056,                 0.7673,                 1.3777,              0.0006536,              0.0006536,              0.0006536
                     70,                0.82279,                0.85305,                  1.433,                0.93371,                0.86387,                0.93872,                0.76588,                0.83292,                0.76061,                 1.3879,              0.0006338,              0.0006338,              0.0006338
                     71,                0.84384,                0.82384,                 1.4419,                0.92505,                0.86521,                0.93514,                0.76522,                0.82759,                0.75073,                 1.3855,               0.000614,               0.000614,               0.000614
                     72,                0.83614,                 0.8312,                 1.4311,                 0.9258,                0.84734,                0.93413,                0.76021,                0.83814,                0.76652,                 1.4035,              0.0005942,              0.0005942,              0.0005942
                     73,                0.82868,                0.84361,                 1.4342,                0.93084,                0.85816,                0.93338,                 0.7589,                 0.8336,                0.74052,                 1.3967,              0.0005744,              0.0005744,              0.0005744
                     74,                0.81607,                0.82448,                 1.4255,                 0.9183,                0.84283,                0.92934,                0.75829,                0.79958,                0.74516,                 1.3657,              0.0005546,              0.0005546,              0.0005546
                     75,                0.79944,                0.80547,                 1.4147,                0.94591,                 0.8619,                0.94338,                0.77611,                0.79888,                 0.7385,                 1.3743,              0.0005348,              0.0005348,              0.0005348
                     76,                0.83031,                 1.0146,                  1.439,                  0.949,                0.86627,                0.93991,                0.76816,                0.80894,                0.73479,                 1.3741,               0.000515,               0.000515,               0.000515
                     77,                0.80091,                0.81566,                 1.4152,                0.94501,                0.86528,                0.94541,                0.78208,                0.77752,                0.69091,                 1.3338,              0.0004952,              0.0004952,              0.0004952
                     78,                0.79755,                 0.7956,                 1.4024,                0.95253,                 0.8572,                0.94116,                0.77722,                0.80288,                0.71901,                 1.3637,              0.0004754,              0.0004754,              0.0004754
                     79,                0.77997,                0.78423,                 1.3974,                0.94808,                0.86199,                0.94764,                 0.7905,                0.76702,                0.69528,                 1.3254,              0.0004556,              0.0004556,              0.0004556
                     80,                0.79384,                0.81147,                 1.4047,                0.93863,                 0.8711,                0.94654,                0.79235,                 0.7503,                0.68906,                 1.3174,              0.0004358,              0.0004358,              0.0004358
                     81,                0.78212,                0.79706,                 1.3812,                0.93032,                0.88171,                0.94609,                0.79522,                0.74046,                0.66413,                 1.2963,               0.000416,               0.000416,               0.000416
                     82,                0.80951,                0.79628,                 1.4061,                 0.9403,                0.87514,                0.94881,                0.78979,                0.75773,                0.68542,                 1.3104,              0.0003962,              0.0003962,              0.0003962
                     83,                0.80731,                0.80706,                 1.4088,                0.94525,                0.88719,                0.95379,                0.80011,                0.73818,                0.65339,                 1.2859,              0.0003764,              0.0003764,              0.0003764
                     84,                0.78174,                0.76843,                 1.3856,                0.94522,                0.87876,                0.94612,                0.79805,                0.72988,                0.64674,                 1.2893,              0.0003566,              0.0003566,              0.0003566
                     85,                0.84759,                0.84373,                 1.6198,                0.94786,                0.87514,                0.95195,                0.80046,                0.73802,                0.66197,                 1.2929,              0.0003368,              0.0003368,              0.0003368
                     86,                0.77773,                0.76187,                 1.3966,                0.94671,                0.88773,                 0.9531,                 0.8053,                0.72968,                0.63705,                 1.2894,               0.000317,               0.000317,               0.000317
                     87,                 0.7689,                0.82288,                 1.3771,                0.95302,                0.87758,                0.95576,                0.81012,                0.72009,                0.62438,                 1.2809,              0.0002972,              0.0002972,              0.0002972
                     88,                0.78113,                0.76916,                 1.3868,                0.94908,                0.88116,                0.95246,                0.80187,                0.72336,                0.63491,                   1.28,              0.0002774,              0.0002774,              0.0002774
                     89,                0.75818,                0.75036,                 1.3719,                0.95818,                0.88719,                 0.9599,                0.81286,                0.71396,                0.62257,                 1.2741,              0.0002576,              0.0002576,              0.0002576
                     90,                0.73206,                0.73224,                 1.3776,                0.94271,                0.88311,                0.95368,                0.80475,                0.71966,                  0.639,                  1.283,              0.0002378,              0.0002378,              0.0002378
                     91,                0.73549,                0.76202,                 1.3523,                 0.9522,                0.88061,                0.95072,                0.79955,                0.72989,                0.64351,                  1.279,               0.000218,               0.000218,               0.000218
                     92,                0.75838,                0.73677,                 1.3784,                0.95451,                0.89157,                0.96083,                0.81358,                0.70646,                0.62268,                 1.2641,              0.0001982,              0.0001982,              0.0001982
                     93,                0.64665,                0.62958,                 1.2804,                0.95761,                0.88828,                0.95907,                0.81726,                0.69067,                0.61418,                  1.255,              0.0001784,              0.0001784,              0.0001784
                     94,                0.66992,                0.62361,                  1.298,                0.94813,                0.90092,                0.96075,                0.81377,                0.69966,                0.60087,                 1.2581,              0.0001586,              0.0001586,              0.0001586
                     95,                0.71154,                0.67293,                 1.3422,                0.95777,                0.89437,                0.96256,                0.82269,                0.67226,                0.58639,                 1.2344,              0.0001388,              0.0001388,              0.0001388
                     96,                0.65708,                0.61075,                 1.3097,                0.94625,                0.89668,                0.96136,                  0.822,                 0.6685,                0.58463,                  1.233,               0.000119,               0.000119,               0.000119
                     97,                0.67117,                0.62175,                 1.2986,                0.96394,                0.89305,                0.96402,                0.82337,                0.67584,                0.58204,                 1.2339,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.62671,                0.59547,                 1.2599,                0.95486,                0.90142,                0.96419,                0.82948,                0.66034,                0.57307,                 1.2208,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.64068,                0.60681,                 1.2771,                0.94783,                0.90543,                0.96247,                0.82765,                0.65949,                0.57551,                 1.2212,               5.96e-05,               5.96e-05,               5.96e-05
